nama: SLTP/SMP SEDERAJAT | kode: 2005001
nama: PAKET C | kode: 3004036
nama: PERSAMAAN SLTA | kode: 3000003
nama: PERSAMAAN SLTA (PAKET C) | kode: 3004000
nama: SEKOLAH MENENGAH ATAS | kode: 3001000
nama: SEKOLAH PELAYARAN MENENGAH ATAS | kode: 3108100
nama: SEKOLAH PETERNAKAN MENENGAH ATAS | kode: 3106400
nama: SLTA | kode: 3004015
nama: SLTA BIDANG ILMU MESIN | kode: 3100120
nama: SLTA KEJURUAN | kode: 3100000
nama: SLTA PERTANIAN | kode: 3106000
nama: SLTA SEDERAJAT | kode: 3000140
nama: SLTA SEMUA JURUSAN | kode: 3000005
nama: SLTA UMUM | kode: 3000000
nama: SLTA/SMA SEDERAJAT | kode: 3000006
nama: SMA BIOLOGI | kode: 3004038
nama: SMA IPA | kode: 3001005
nama: SMA IPS | kode: 3004002
nama: SMA KIMIA | kode: 3005001
nama: SMA/MA (IPA DAN IPS) | kode: 3000049
nama: SMK KEUANGAN | kode: 3109814
nama: SMK MANAJEMEN BISNIS | kode: 3101534
nama: SMK PERIKANAN | kode: 3106412
nama: SMK TEKNIK LISTRIK | kode: 3101537
nama: STM MESIN PRODUKSI | kode: 3109650
nama: SUPM | kode: 3004039
nama: SUPM BUDIDAYA PERIKANAN | kode: 3106527
nama: SUPM MESIN PERIKANAN | kode: 3106526
nama: SUPM PENANGKAPAN IKAN | kode: 3106525
nama: SUPM PENGOLAHAN HASIL PERIKANAN | kode: 3106528
nama: SEKOLAH MENENGAH ANALIS KIMIA | kode: 3171022
nama: SEKOLAH MENENGAH KEJURUAN | kode: 3100006
nama: SEKOLAH MENENGAH KEJURUAN BIDANG KESEHATAN HEWAN | kode: 3190097
nama: SEKOLAH MENENGAH TEKNOLOGI INDUSTRI (SMTI) | kode: 3331002
nama: SLTA KEJURUAN MEKANIK OTOMOTIF | kode: 3100393
nama: SMK | kode: 3101500
nama: SMK ADMINISTRASI PERKANTORAN | kode: 3110004
nama: SMK AGRIBISNIS PERIKANAN | kode: 3100031
nama: SMK AGROBISNIS PRODUKSI TERNAK | kode: 3190002
nama: SMK AKUNTANSI | kode: 3101532
nama: SMK AUDIO VIDEO | kode: 3100051
nama: SMK BAHASA | kode: 3190003
nama: SMK BANGUNAN | kode: 3110019
nama: SMK BISNIS DAN MANAJEMEN | kode: 3109999
nama: SMK BISNIS KONSTRUKSI DAN PROPERTI | kode: 3190004
nama: SMK BUDIDAYA AIR PAYAU DAN LAUT | kode: 3190005
nama: SMK BUDIDAYA IKAN AIR TAWAR | kode: 3180013
nama: SMK BUDIDAYA IKAN LAUT | kode: 3190006
nama: SMK BUDIDAYA KELAUTAN | kode: 3190007
nama: SMK BUDIDAYA PERIKANAN | kode: 7609224
nama: SMK BUDIDAYA TERNAK | kode: 3171055
nama: SMK DESAIN DAN TEKNIK FURNITUR | kode: 3190009
nama: SMK DESAIN GAMBAR MESIN | kode: 3190010
nama: SMK DESAIN GRAFIS | kode: 3190011
nama: SMK DESAIN INTERIOR | kode: 3190012
nama: SMK DESAIN INTERIOR DAN TEKNIK FURNITUR | kode: 3190013
nama: SMK DESAIN PEMODELAN DAN INFORMASI BANGUNAN | kode: 3190014
nama: SMK ELEKTRO | kode: 3171105
nama: SMK ELEKTRO OTOMOTIF | kode: 3190015
nama: SMK ELEKTRONIKA | kode: 3110014
nama: SMK ELEKTRONIKA AUDIO VIDEO | kode: 3190098
nama: SMK ELEKTRONIKA INDUSTRI | kode: 3190099
nama: SMK FARMASI | kode: 3100043
nama: SMK GEOLOGI PERTAMBANGAN | kode: 3171103
nama: SMK GEOMATIKA | kode: 3100121
nama: SMK INFORMASI GEOSPASIAL | kode: 3190017
nama: SMK INSTRUMENTASI LOGAM | kode: 3190019
nama: SMK JASA BOGA | kode: 3171020
nama: SMK KEHUTANAN | kode: 3171083
nama: SMK KIMIA | kode: 3171069
nama: SMK KIMIA ANALISIS | kode: 3190020
nama: SMK KONSTRUKSI GEDUNG DAN SANITASI | kode: 3180001
nama: SMK KONSTRUKSI GEDUNG, SANITASI DAN PERAWATAN | kode: 3190021
nama: SMK KONSTRUKSI JALAN DAN JEMBATAN | kode: 3180002
nama: SMK KONSTRUKSI JALAN, IRIGASI, DAN JEMBATAN | kode: 3190022
nama: SMK KONTROL MEKANIK | kode: 3190023
nama: SMK LISTRIK | kode: 3110003
nama: SMK LISTRIK DAN INSTALASI | kode: 3190025
nama: SMK MADRASAH ALIYAH ILMU AGAMA | kode: 3190027
nama: SMK MADRASAH ALIYAH IPS | kode: 3190028
nama: SMK MESIN | kode: 3101501
nama: SMK MULTIMEDIA | kode: 3171032
nama: SMK NAUTIKA | kode: 3110017
nama: SMK NAUTIKA PENANGKAPAN IKAN | kode: 3171128
nama: SMK NAUTIKA PERIKANAN LAUT | kode: 3110006
nama: SMK OTOMOTIF | kode: 3110001
nama: SMK PELAYARAN | kode: 3109998
nama: SMK PELAYARAN NAUTIKA | kode: 3171007
nama: SMK PELAYARAN TEKNIKA | kode: 3171008
nama: SMK PEMASARAN | kode: 3171078
nama: SMK PENERBANGAN | kode: 3171067
nama: SMK PENJUALAN | kode: 3110016
nama: SMK PERABOT KAYU | kode: 3190034
nama: SMK PERHOTELAN | kode: 3100017
nama: SMK PERIKANAN BUDIDAYA | kode: 3180003
nama: SMK PERIKANAN DAN KELAUTAN | kode: 3110021
nama: SMK PERMESINAN PERIKANAN | kode: 3171093
nama: SMK PERPETAAN | kode: 3180004
nama: SMK PERTANIAN | kode: 3106411
nama: SMK PETERNAKAN | kode: 3106410
nama: SMK REKAYASA PERANGKAT LUNAK | kode: 3100016
nama: SMK SEKRETARIS | kode: 3171051
nama: SMK TATA BOGA | kode: 3171050
nama: SMK TEKNIK | kode: 3190001
nama: SMK TEKNIK ALAT BERAT | kode: 3190036
nama: SMK TEKNIK AUDIO VIDEO | kode: 3110007
nama: SMK TEKNIK BANGUNAN/MULTIMEDIA/DESAIN GRAFIS | kode: 3190039
nama: SMK TEKNIK BODI KENDARAAN RINGAN | kode: 3190040
nama: SMK TEKNIK DAN MANAJEMEN PERAWATAN OTOMOTIF | kode: 3190043
nama: SMK TEKNIK ELEKTRO | kode: 3110002
nama: SMK TEKNIK ELEKTRONIKA | kode: 3100070
nama: SMK TEKNIK FABRIKASI LOGAM | kode: 3190050
nama: SMK TEKNIK FURNITUR | kode: 3190052
nama: SMK TEKNIK GAMBAR BANGUNAN | kode: 3100035
nama: SMK TEKNIK GAMBAR MESIN | kode: 3190053
nama: SMK TEKNIK GEOMATIKA | kode: 3190054
nama: SMK TEKNIK INFORMATIKA | kode: 3171079
nama: SMK TEKNIK INSTALASI LISTRIK | kode: 3100426
nama: SMK TEKNIK INSTALASI TENAGA LISTRIK | kode: 3171097
nama: SMK TEKNIK JARINGAN TENAGA LISTRIK | kode: 3100302
nama: SMK TEKNIK KENDARAAN RINGAN | kode: 3100023
nama: SMK TEKNIK KENDARAAN RINGAN OTOMOTIF | kode: 3190058
nama: SMK TEKNIK KIMIA | kode: 2110307
